Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1918,-.29,-.39,-.19,-.40,-.32,-.14,-1.03,-.25,-.34,-.37,-.27,-.06,-.23,-.27
1919,-.27,-.34,-.20,-.43,-.19,-.22,-.72,-.54,-.29,-.22,-.17,-.14,-.32,.20
1920,-.27,-.30,-.24,-.25,-.25,-.32,-.02,-.19,-.34,-.37,-.12,-.19,-.48,-1.14
1921,-.19,-.11,-.26,.02,-.25,-.31,-.03,.18,-.09,-.28,-.21,-.23,-.38,-.83
1922,-.28,-.27,-.30,-.24,-.32,-.27,-.33,-.39,-.13,-.32,-.32,-.24,-.28,-.27
1923,-.26,-.22,-.31,-.15,-.30,-.33,.15,-.14,-.25,-.31,-.28,-.26,-.41,-.54
1924,-.27,-.18,-.36,-.13,-.26,-.43,.44,-.24,-.22,-.26,-.26,-.39,-.45,-.52
1925,-.22,-.13,-.30,-.04,-.24,-.37,-.09,.19,-.18,-.27,-.21,-.24,-.55,-.85
1926,-.10,.03,-.22,.03,.02,-.40,.56,.17,-.21,.02,.02,-.34,-.45,-.63
1927,-.22,-.13,-.30,-.13,-.16,-.38,.01,-.21,-.12,-.13,-.18,-.30,-.45,-1.37
1928,-.20,-.09,-.29,-.06,-.15,-.39,.71,-.16,-.22,-.13,-.17,-.29,-.48,-2.12
1929,-.36,-.33,-.38,-.37,-.28,-.45,.14,-.61,-.38,-.27,-.29,-.42,-.44,-1.07
1930,-.16,-.01,-.29,.04,-.11,-.42,.53,.05,-.11,-.09,-.13,-.33,-.47,-2.59
1931,-.09,.05,-.22,.01,.07,-.43,.56,-.04,-.14,.10,.05,-.42,-.40,-.41
1932,-.16,-.05,-.26,.04,-.17,-.35,.48,.20,-.21,-.19,-.14,-.21,-.53,-.98
1933,-.29,-.25,-.32,-.24,-.28,-.34,-.16,-.46,-.12,-.28,-.29,-.21,-.48,-1.14
1934,-.13,.00,-.26,.18,-.25,-.26,.88,.31,-.12,-.25,-.25,-.15,-.38,-.56
1935,-.20,-.09,-.30,-.05,-.19,-.38,.34,-.05,-.16,-.16,-.21,-.30,-.41,-1.71
1936,-.15,-.03,-.27,-.03,-.13,-.30,.39,.10,-.25,-.05,-.22,-.26,-.33,-.03
1937,-.03,.12,-.18,.20,-.06,-.22,1.24,.03,-.02,.01,-.12,-.19,-.26,.37
1938,.00,.16,-.18,.39,-.23,-.10,1.51,.39,.03,-.18,-.28,-.06,-.11,-.86
1939,-.02,.09,-.13,.23,-.13,-.12,.56,.28,.08,-.11,-.14,-.04,-.19,-1.60
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.28,.28,.03,-.20,-.05
1941,.19,.23,.17,.01,.49,-.05,.00,-.10,.08,.55,.43,.04,-.15,-.46
1942,.07,.13,.00,.13,.08,-.01,.73,-.07,.06,.12,.03,.06,-.05,-.89
1943,.09,.18,-.01,.37,-.09,.04,1.42,.28,.11,-.10,-.07,.07,.00,1.14
1944,.20,.27,.14,.38,.19,.05,1.18,.46,.09,.11,.26,.19,-.10,-.92
1945,.09,.10,.09,.11,.17,-.03,.63,-.03,.04,.10,.24,.04,.00,-1.75
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.16,-.02,-.08,-.22,-.24,-.14
1947,-.03,.08,-.14,.15,-.07,-.16,1.07,-.13,.04,-.03,-.10,-.19,-.08,-.19
1948,-.11,-.02,-.20,.13,-.18,-.24,.12,.31,.00,-.22,-.14,-.19,-.19,-1.35
1949,-.11,-.03,-.20,.11,-.19,-.23,.21,.17,.05,-.23,-.15,-.17,-.15,-1.95
1950,-.17,-.15,-.21,-.05,-.29,-.14,.20,-.31,.04,-.30,-.28,-.06,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.09,.01,.12,.00,-.12,-.22,-.16,-.69
1952,.01,.06,-.04,.11,.01,-.09,.27,-.09,.18,-.01,.04,-.10,-.02,-.48
1953,.08,.24,-.08,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.08
1954,-.13,-.02,-.25,.07,-.21,-.22,.81,-.21,.00,-.14,-.28,-.17,-.20,-.79
1955,-.14,-.09,-.20,.04,-.34,-.06,-.24,-.11,.23,-.30,-.38,-.16,-.08,1.23
1956,-.19,-.23,-.16,-.20,-.33,.01,.01,-.47,-.09,-.29,-.37,-.14,.02,.77
1957,.05,.04,.05,.03,.08,.02,.09,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.02,.08,.21,-.15,-.17,.15,.12,.26,.15,-.08,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.48,.18,.05,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.03,-.10,-.07,-.76
1961,.06,.08,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.12,-.07,.24,-.05,-.08,.45,.31,.14,-.05,-.05,.09,-.07,-.66
1963,.05,.14,-.03,.14,.11,-.12,-.16,.31,.13,.13,.10,-.10,-.17,-.04
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.19,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.10,-.06,-.09,-.33,-.02,-.08,-.02,-.11,-.14,.00,-.08
1969,.05,-.03,.15,-.29,.34,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.07,.07,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.43
1972,.01,-.17,.20,-.34,.16,.14,-.37,-.47,-.24,.07,.26,.16,-.02,.45
1973,.16,.10,.23,.11,.19,.18,.07,.27,.02,.08,.30,.21,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.08,.64
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.28
1976,-.10,-.21,.01,-.26,-.11,.09,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.21,.31,.27
1978,.07,.02,.12,-.03,.08,.16,-.16,.03,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.07,.09,.26,.27,.30,.33,-.21
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.33,.29,.35,.37,.58
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.09,.22,.15,.28,.38,.61
1982,.14,.06,.23,-.08,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.18,.26,.37,.08,-.13,.07,.30,.16,.32,.52
1985,.12,.00,.24,-.03,.09,.30,.39,-.27,-.01,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.23,.19,.01,.28,.03,.17,.28,.25,.25,-.11
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.38,.39,.59,.57,.24,.32,.43,.38,.20,.87
1989,.27,.27,.28,.41,.13,.33,.33,.69,.25,.07,.19,.36,.30,.35
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.38,.37,.37,.37,.38
1991,.41,.41,.40,.47,.37,.39,.75,.66,.26,.32,.41,.31,.29,.96
1992,.22,.14,.31,.10,.29,.26,-.16,.44,-.03,.20,.37,.20,.33,.38
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.29,.36,.26,.39,-.30
1994,.32,.37,.26,.43,.31,.20,.34,.50,.42,.28,.34,.26,.23,-.06
1995,.45,.58,.32,.70,.43,.22,1.31,.99,.31,.41,.45,.29,.15,.16
1996,.33,.26,.39,.23,.32,.43,.77,.17,.10,.31,.33,.32,.28,1.20
1997,.46,.52,.42,.53,.51,.33,.76,.90,.23,.50,.53,.42,.36,.00
1998,.61,.71,.52,.78,.70,.33,.85,.94,.66,.60,.80,.39,.31,.16
1999,.39,.48,.29,.70,.21,.30,.39,.80,.74,.16,.26,.46,.19,.04
2000,.40,.50,.29,.70,.25,.29,.97,.80,.55,.21,.29,.42,.10,.29
2001,.54,.64,.44,.80,.43,.43,1.06,.86,.68,.40,.46,.58,.24,.31
2002,.63,.71,.55,.83,.60,.47,1.25,1.00,.58,.55,.65,.49,.32,.76
2003,.62,.75,.50,.84,.65,.37,1.49,.99,.54,.61,.68,.44,.24,.43
2004,.54,.66,.43,.73,.56,.33,.47,.96,.66,.56,.55,.48,.23,.04
2005,.68,.86,.51,1.02,.63,.42,1.98,1.23,.57,.62,.63,.49,.18,.71
2006,.64,.82,.47,.99,.56,.41,1.73,1.06,.70,.57,.56,.51,.19,.48
2007,.67,.85,.48,1.13,.47,.48,2.11,1.32,.69,.45,.49,.50,.07,1.29
2008,.55,.68,.41,.92,.38,.40,1.54,1.08,.62,.34,.43,.53,.09,.62
2009,.66,.73,.60,.78,.69,.51,1.42,.60,.69,.66,.72,.60,.15,.96
2010,.73,.90,.55,1.03,.69,.48,2.21,.87,.74,.72,.67,.64,.20,.48
2011,.61,.75,.47,.99,.38,.55,2.34,.94,.58,.39,.37,.64,.18,1.02
2012,.65,.82,.48,1.04,.53,.41,2.21,.93,.74,.48,.59,.56,.19,.32
2013,.68,.80,.56,.95,.59,.54,1.54,1.04,.70,.58,.59,.63,.22,.91
2014,.75,.92,.58,1.07,.68,.52,2.03,1.12,.73,.69,.66,.72,.18,.56
2015,.90,1.18,.63,1.31,.97,.40,1.98,1.47,1.00,.98,.95,.75,.18,-.35
2016,1.02,1.31,.73,1.55,1.02,.49,3.23,1.43,1.08,.96,1.08,.67,.25,.37
2017,.93,1.18,.68,1.39,.83,.59,2.50,1.37,1.04,.88,.79,.76,.35,.53
2018,.86,1.04,.67,1.25,.69,.68,2.15,1.09,1.06,.74,.65,.80,.37,.92
2019,.99,1.22,.76,1.42,.92,.65,2.68,1.44,1.00,.92,.91,.75,.39,.87
